LDGS_NM,AFRM_KWRD_CN,AFRM_WGHTVAL_SCORE,NEGA_KWRD_CN,NEGA_WGHTVAL_SCORE
아르반 호텔,"['침대', '위치', '깔끔', '객실', '가격']","[1.318005546532717, 1.052653369349949, 0.9051397819247253, 0.6805396870939241, 0.6752188800031146]","['직원', '친절', '깨끗', '소음', '숙박']","[-1.2732622777492524, -0.9608500297827332, -0.9196319714233057, -0.9157652387358696, -0.8964935873053045]"
솔라리아 니시테츠 부산,"['깨끗', '시설', '깔끔', '침실', '밥집']","[0.5763460060984179, 0.47863696046847676, 0.4328477863812269, 0.39391909538688397, 0.35444094802725357]","['위치', '주차', '직원', '프론트', '사용']","[-0.8807284217728242, -0.6388668904589322, -0.5925628466981926, -0.4397688394686213, -0.43724766311878477]"
라마다 앙코르 바이 윈덤 부산역,"['위치', '가격', '수영장', '시설', '침대']","[1.3945634203717865, 0.8867161521670763, 0.7237529034113079, 0.546942186296834, 0.36182792951105214]","['냄새', '객실', '부산역', '가능', '서비스']","[-0.8321460276516263, -0.6419681265000702, -0.5739310997742049, -0.5126951015429995, -0.45090841259409803]"
센텀 프리미어 호텔,"['위치', '시설', '가격', '해운대', '깨끗']","[1.045811361245485, 0.8121307135541895, 0.6259436032456478, 0.591434611091562, 0.47990729263050164]","['깔끔', '객실', '침대', '침구', '접근성']","[-0.6859498075631761, -0.6770113551577749, -0.5361483034969572, -0.5169515800644979, -0.500715298382454]"
베니키아 프리미어 호텔 해운대,"['청결', '가격', '맛집', '해운대', '위치']","[1.373948252089688, 0.9881915530649744, 0.9550241316570972, 0.902043776932715, 0.8313618440027915]","['시설', '접근성', '무료', '침구', '깨끗']","[-1.2977396775025685, -1.207125018256733, -1.1655374993386234, -1.165461182513217, -1.1253044597570803]"
이비스 버젯 앰배서더 부산 해운대,"['깨끗', '친절', '인터파크', '화장실', '매주']","[2.4829237741892793, 2.0928760495834537, 1.262117567413053, 0.9762130545236095, 0.824298297075628]","['가격', '바다', '위치', '상품', '조식']","[-3.1416645725954084, -2.808305043883209, -1.9058568870230577, -1.7485464426727269, -1.4478049957301415]"
라발스 호텔 부산,"['여행', '사진', '친절', '침대', '여울']","[1.3253992060302973, 0.9241467252770458, 0.7891306452084401, 0.4864662339534715, 0.47260689911268705]","['시설', '조식', '화장실', '객실', '주차']","[-1.4910216992783196, -0.9574744121240041, -0.8248760871620887, -0.7914942710893441, -0.7890868897653538]"
펠릭스 바이 STX 호텔 & 스위트,"['조식', '대피', '치약', '사람', '침구']","[0.7562931960286932, 0.3262568493566455, 0.31092198861682724, 0.29189349106764334, 0.2908049096661784]","['위치', '해운대', '침대', '주차', '거리']","[-1.2269818141156374, -0.7998394676165635, -0.7988107835376027, -0.5745794088604418, -0.560078603676742]"
신라스테이 해운대,"['깔끔', '서비스', '시설', '침구', '방음']","[2.382088331055371, 1.8349107666447615, 1.5766178589403004, 1.2760498228056538, 1.212980199028202]","['위치', '해운대', '객실', '바다', '주차장']","[-4.60804329861907, -2.424400578571417, -1.8834525804051556, -1.4401248026352291, -1.434029193487068]"
코오롱 씨클라우드 호텔,"['깨끗', '숙박', '편안', '저렴', '청결']","[1.8026287094208293, 1.3229739134794019, 1.2649572614288822, 1.1079569767513249, 1.1054137281416392]","['해운대', '위치', '바닷가', '수영장', '아침']","[-4.663040838188599, -4.044259180999751, -1.1643706776202407, -1.1418062907993292, -1.1077910933192674]"
아바니 센트럴 부산,"['깔끔', '시설', '친절', '청결', '업그레이드']","[0.724012798666741, 0.6371181692591786, 0.5784334397320482, 0.5116596163942657, 0.43589054760402773]","['침구', '가격', '주차장', '엘리베이터', '조식']","[-0.5954358149552558, -0.5548786816820073, -0.4801849364409352, -0.4370907784794319, -0.43137987238068787]"
롯데 호텔 서울,"['깨끗', '시설', '특급', '여행', '사우나']","[0.4876583536420322, 0.40541167935905403, 0.37199771064440607, 0.36446703130632785, 0.35198853987268985]","['백화점', '연결', '건물', '주차', '식사']","[-0.7312218192929294, -0.6956895573676308, -0.40017891511725745, -0.3761180557732082, -0.37580898475402824]"
웨스틴 조선 서울,"['상품', '패키지', '기분', '사우나', '선정']","[2.800359224659816, 2.5838389776803297, 2.2007342615705254, 1.8118280430971296, 1.588314153961072]","['라운지', '위치', '조항', '직원', '가격']","[-3.7382530364255793, -3.46500683202857, -2.5220585935126603, -2.4496521078687117, -2.417778066368021]"
호텔 농심,"['시설', '깔끔', '객실', '배관', '깨끗']","[2.3378736986857507, 1.4597119579990372, 1.1908902443122618, 1.0923844402229452, 1.0785882282892234]","['위치', '여행', '조식', '성급', '서비스']","[-2.350840054564887, -2.335767908957583, -1.85565575353584, -1.6985521312598855, -1.480861791422777]"
롯데 호텔 부산,"['맥주', '시설', '특급', '헬스', '저렴']","[0.6722946432411792, 0.44771559540557415, 0.3498725926104421, 0.3317700774551956, 0.29824669168614976]","['위치', '클럽', '여행', '가격', '라운지']","[-0.9529966442019776, -0.793307012548736, -0.5838202305474177, -0.5537988618030374, -0.5275159843685544]"
히든 클리프 호텔 앤 네이처,"['객실', '조식', '코로나', '맛집', '마스크']","[1.2769766529004034, 0.5639078730293715, 0.5479037287643408, 0.4791029027524299, 0.47011064979128825]","['가격', '수영장', '파티', '여행', '온수']","[-1.2496845823251912, -1.002805740422138, -0.8692523417555458, -0.8417396386544445, -0.8292258181945348]"
여수 호텔 jcs,"['깨끗', '깔끔', '신축', '친절', '돌산']","[0.456508493306706, 0.4128870407614056, 0.3751363372402251, 0.3343227629634355, 0.25595386214446975]","['여행', '수영장', '여수', '가족', '뷰로']","[-0.743352054287968, -0.5952633069322769, -0.5884970143202307, -0.5174402968836866, -0.44271487192945247]"
여수 유탑 마리나 호텔 리조트,"['여수', '가격', '직원', '무료', '와인']","[1.6094321794933255, 1.5225130293042914, 1.4772508955175512, 1.0774860868055363, 1.0588648661677036]","['객실', '깨끗', '조식', '엘리베이터', '야시장']","[-2.0417952282455896, -1.834743000930939, -1.5632892483436445, -1.5135702935829647, -1.3212444904228438]"
여수 베네치아 호텔&리조트,"['숙박', '일출', '접근성', '다인', '오동도']","[1.8403426871994266, 1.4697992360660286, 1.4631981355702472, 1.2938504322104247, 1.2046674172665441]","['깨끗', '위치', '엑스포', '친절', '이동']","[-2.282213958285925, -1.846567438005212, -1.5905058816629327, -1.366039503623119, -1.256737338874065]"
호텔토마스명동,"['청결', '명동', '구매', '화장실', '히터']","[0.5500123709263309, 0.3639558051982733, 0.3135497392590976, 0.2987855014735534, 0.267456025167899]","['직원', '위치', '교통', '깨끗', '방음']","[-0.5818697905655685, -0.5633461778060499, -0.39095784034992337, -0.3258298260982054, -0.32254076396946385]"
호텔 미드시티 명동,"['미드', '명동', '인테리어', '샤워', '사람']","[0.27913310891945164, 0.2697863162517527, 0.24270063372710882, 0.2091278298270889, 0.19137642631343257]","['깨끗', '위치', '조용', '객실', '침대']","[-0.7632335759834076, -0.4539001497996371, -0.3616989078796989, -0.3105666724657917, -0.25826661985619653]"
나인트리 호텔 명동,"['가능', '저렴', '선택', '맛집', '메리트']","[0.7240437261215196, 0.71906872386392, 0.5707392659837356, 0.4845089232144234, 0.4507410760283362]","['위치', '명동', '직원', '침대', '라운지']","[-0.8337258699098347, -0.665456677999105, -0.6602387142727485, -0.5875590227877975, -0.5577502306985338]"
호텔 다움,"['애용', '직원', '객실', '병영', '수압']","[0.5519494174443523, 0.43667259203829334, 0.39316314823819803, 0.30580937607312736, 0.2908501070304328]","['깨끗', '조용', '숙박', '가족', '조식']","[-0.7844247884686679, -0.6667801135978291, -0.6420501376144016, -0.5264647984512532, -0.48318027143088166]"
신라스테이 울산,"['가격', '위치', '관람', '주차', '숙박']","[1.7316070956873275, 1.1033331800096944, 0.8786724642750455, 0.7839164496258201, 0.7277318676873876]","['조식', '침구', '에어컨', '전반', '체크아웃']","[-2.248547613133969, -1.6090314282077023, -1.256164911803848, -1.1306921808562542, -1.0616266312682043]"
그랜드플라자청주호텔,"['편의', '주차', '로비', '깨끗', '수영장']","[0.2724089825837652, 0.2706992807655955, 0.25381999584857695, 0.24387160467148436, 0.2389928098152453]","['성급', '객실', '숙박', '가격', '편안']","[-0.4434109152344058, -0.43317229034001886, -0.4306045315705609, -0.3979547019533312, -0.3065643770365863]"
호메르스 호텔,"['청결', '깔끔', '쾌적', '방음', '내부']","[0.8811362088675078, 0.6839225157989717, 0.5203000094948365, 0.5161396419861735, 0.49627495050631437]","['전망', '조식', '위치', '프론트', '바다']","[-1.6063468987426535, -0.869297505838136, -0.7156969340102721, -0.5915678113016876, -0.5790196251317701]"
하운드호텔 광안리,"['위치', '공사', '가격', '넉넉', '사진']","[0.866627185688853, 0.5679136653520743, 0.5660400915031316, 0.4313329631132782, 0.37129626240582886]","['객실', '주차', '침대', '직원', '소리']","[-1.0741243686106652, -1.020881875601707, -0.7364227340131134, -0.7101345670299376, -0.6861128675846261]"
힐튼 호텔 부산,"['여행', '힐링', '코로나', '친절', '부대시설']","[1.3095818972319453, 1.0490932044748698, 0.9977952767687794, 0.9787546928372848, 0.848446843241832]","['조식', '식사', '음식', '야외', '샴푸']","[-1.596137224976443, -1.0510984071200724, -1.0302873585095604, -0.8472217650786529, -0.8287330550007566]"
브라운도트호텔 덕천점,"['에어컨', '친절', '공기', '인도', '셀프']","[0.3872108342848753, 0.2689618925727682, 0.26582248892649246, 0.2517370081569018, 0.23555671837211573]","['사용', '온수', '객실', '주차', '교통']","[-0.5741622619173833, -0.555283512805602, -0.5335735493456434, -0.4680408258552057, -0.44310417922278234]"
제이비디자인호텔,"['청결', '친절', '시설', '서비스', '주차']","[1.1669506329283597, 0.8716765966314165, 0.6030625099500918, 0.49737272946620664, 0.4768629850535791]","['조식', '위치', '객실', '가격', '모텔']","[-1.8723817376636573, -0.9721909711192158, -0.6039672181141735, -0.5693512855749152, -0.551561099632006]"
그랜드 조선 부산,"['가격', '라운지', '여행', '아기', '사진']","[1.2724170695616281, 1.120245912508338, 1.00375868909453, 0.9599653436680211, 0.7858375566402978]","['시설', '객실', '서비스', '주차장', '주차']","[-1.4902660524212954, -1.27220703044962, -1.1576931611855206, -1.0922015071122089, -0.9034991552101183]"
파크 하얏트 부산,"['화장실', '광안대교', '바다', '처음', '시설']","[0.3850875539090208, 0.3524716668688528, 0.32804138295678287, 0.31153494271160453, 0.3038195134454141]","['여행', '조식', '수영장', '위치', '가격']","[-1.0793565788932693, -0.6244557185158688, -0.6053573615961935, -0.5027604948521118, -0.45553867566911915]"
티티호텔,"['청결', '깔끔', '편의점', '사진', '업그레이드']","[0.6061293722955458, 0.5977900050777978, 0.4119462920898838, 0.3589572245938662, 0.33998129790262255]","['서면역', '숙박', '위치', '욕조', '친절']","[-0.6118386983158884, -0.6004034212299537, -0.44056041081069447, -0.4396246577395553, -0.4267529215560293]"
나인트리프리미어호텔인사동,"['위치', '편의점', '야경', '가능', '답변']","[0.564801988401619, 0.3058652393006597, 0.3017059220775155, 0.2302968552901117, 0.21823245928992263]","['깔끔', '객실', '깨끗', '주차', '직원']","[-0.5659182272653032, -0.46393532445932145, -0.40876558834168036, -0.38970230334964684, -0.34846192417538024]"
서울프린스호텔,"['위치', '깨끗', '숙박', '시설', '조용']","[0.49278453092619484, 0.47753143998705677, 0.3907757023571473, 0.33022061781927575, 0.2961012047434294]","['객실', '명동', '모델', '아진', '거리']","[-0.4006591762971836, -0.3269475323006338, -0.21181323758968684, -0.21181323758968684, -0.17127984386569786]"
뉴서울호텔,"['직원', '수압', '슬리퍼', '주차', '배달']","[0.6880597088061144, 0.4835750554796459, 0.45720460383419725, 0.3466818918067388, 0.32364832714664726]","['위치', '청결', '구두', '숙박', '국수']","[-1.5530322435002828, -0.67557187933736, -0.6218066703873933, -0.6165731659723441, -0.6158531456447788]"
호텔 PJ,"['침대', '공사장', '카페', '화장대', '소음']","[0.35173175828654507, 0.21187442387090874, 0.21118919418291596, 0.19829016519146672, 0.1946419755261524]","['친절', '주차', '위치', '객실', '가격']","[-0.46462029362186646, -0.39543068028923706, -0.2922122529797277, -0.28677327107127326, -0.2668310429162102]"
세종호텔,"['친절', '시설', '코로나', '컨디션', '와인']","[0.7872372217146716, 0.6699326356022431, 0.5262119603020953, 0.5223706640147379, 0.5063495379623292]","['위치', '명동', '가격', '여행', '편안']","[-2.8253881012870576, -1.1853568924338895, -0.8144857346254311, -0.7849587664810882, -0.6324490361808766]"
로얄호텔서울,"['침대', '배달', '기분', '예민', '청결']","[0.3795386837048997, 0.3669459025701969, 0.3406808839706055, 0.29367207340060847, 0.2916196373133539]","['시설', '명동성당', '조식', '친절', '깔끔']","[-0.9180537243775719, -0.6780547736226293, -0.6780059315133069, -0.6544137153417975, -0.6387816546895151]"
호텔 스카이파크3,"['서비스', '비용', '친절', '장점', '가격']","[0.4737324139581571, 0.4647921176101318, 0.28155451068597337, 0.267995862952713, 0.26433474147854025]","['조식', '소리', '아침', '내부', '여행']","[-0.5598612743978949, -0.36886348428647475, -0.295407238771705, -0.2832459868292277, -0.27805825895140185]"
더 홍씨 강릉,"['청결', '깔끔', '화장실', '서비스', '욕실']","[0.3622903308745736, 0.3510514388625389, 0.2549988587273261, 0.22582718346709205, 0.19660758739786866]","['조식', '깨끗', '조용', '친절', '식사']","[-0.5977454900054345, -0.5922681299989174, -0.42552968039259853, -0.405985696056775, -0.39605001304165927]"
켄싱턴호텔 설악,"['친절', '객실', '전망', '저렴', '영국']","[1.6603086039338948, 1.14389476158231, 0.9818759648273762, 0.9353500689635174, 0.8927599223910193]","['설악산', '위치', '조식', '여행', '아침']","[-2.059020273524809, -1.34493115659392, -0.9309539302237722, -0.9221218294605422, -0.8885775087573649]"
롯데리조트 속초,"['코로나', '깨끗', '환상', '친절', '시설']","[0.4617390410774654, 0.4258709685785234, 0.2556790985969248, 0.23832656062466512, 0.22858529981983697]","['가격', '여행', '속초', '인피니티', '가족']","[-0.6195743808528024, -0.5982537552271572, -0.5087462484535317, -0.5024370545291104, -0.4026421560552163]"
쏠비치 호텔 양양,"['비치', '조식', '직원', '행복', '양양']","[0.39578394011617984, 0.3951884824321052, 0.37258915195212544, 0.370132050376425, 0.357408415878879]","['시설', '노후', '바다', '주차', '깨끗']","[-1.3297904049187812, -0.5202272281539216, -0.5073608968315751, -0.46973766434613395, -0.45986145469370376]"
베니키아호텔 산과바다 속초,"['동해', '저렴', '바다', '제가', '타월']","[0.6926506607271178, 0.6363926338281763, 0.5151612199109851, 0.44804336885261586, 0.38822012033886655]","['침구', '노후', '깨끗', '시설', '인터넷']","[-0.5592062635068996, -0.5244491188139377, -0.5132000306872158, -0.4645207205686366, -0.3672269868815707]"
오색그린야드호텔,"['파동', '힐링', '탄산', '암반', '깨끗']","[1.9715213032854249, 1.7895206612055474, 1.5462437477794473, 1.2059134303015666, 1.062353322051497]","['날씨', '가족', '여행', '조용', '식당']","[-2.553606819475328, -1.897381145100877, -1.7772271464325187, -1.765120737941709, -1.7370492702453235]"
메종글래드제주,"['여행', '시설', '접근성', '공항', '조식']","[0.7410507205120398, 0.47287843051602974, 0.3853942725457754, 0.3403804117547284, 0.30676573679208036]","['가격', '화장실', '시내', '결제', '아침']","[-0.7554816804338119, -0.6066964242724248, -0.5883053908167644, -0.5689367910308821, -0.5355713345890006]"
호텔 스카이파크,"['조용', '하루', '깨끗', '장점', '힐링']","[0.3639819669589161, 0.2979044686381022, 0.2269120434946005, 0.20663989017038006, 0.17528990252380885]","['위치', '한라산', '시내', '조식', '숙박']","[-0.7406616025405263, -0.6827640981873521, -0.45326696444972375, -0.38524557942721255, -0.31898922655455697]"
메이더호텔,"['친절', '청결', '조용', '직원', '깨끗']","[1.1240702881313298, 0.7611432452961742, 0.6468687648641412, 0.3903259893570193, 0.34158299047816215]","['사용', '가능', '프론트', '수영장', '위치']","[-0.46508601001891, -0.4212014899725157, -0.4056698518548704, -0.38505053297014125, -0.36776749618806076]"
그라벨호텔,"['온수', '수영장', '청결', '제주도', '옥상']","[0.7873191358893434, 0.6663524275583816, 0.6460085343464819, 0.3769484731617934, 0.34959366691151894]","['가격', '위치', '공항', '음식', '냄새']","[-1.204431813926549, -0.839640736735902, -0.7743565450607156, -0.6029601167705259, -0.5615653055898925]"
아스타호텔,"['가격', '여행', '깔끔', '시내', '침대']","[0.8803104549057964, 0.6584372318229517, 0.48120525547862697, 0.447443449511737, 0.4180567494671691]","['직원', '객실', '저녁', '조식', '도착']","[-0.835181659622975, -0.8081112792985271, -0.5820918919482734, -0.574217164794229, -0.5182972465802054]"
신라스테이제주,"['침구', '깔끔', '시설', '인터파크', '시내']","[3.1400207106307416, 2.9262110292559593, 2.70365380992229, 1.4794723454572427, 1.3939370359796392]","['위치', '조식', '가격', '직원', '스탭']","[-4.170046901207398, -3.430850967011605, -2.43380989084051, -2.3752122838149416, -2.2138131053260555]"
베니키아호텔제주(구. 뉴베니키아호텔제주),"['여행', '수영장', '애월', '따뜻', '온도']","[0.634683632886805, 0.5831904990110306, 0.545316763837787, 0.5021083819896415, 0.4254237958717295]","['편의점', '침대', '친절', '깔끔', '수건']","[-0.8509218674442838, -0.8210077999285805, -0.7189853224960864, -0.661699548572547, -0.6579464498092334]"
호텔더원,"['제주도', '친절', '깨끗', '여행', '컨디션']","[0.6596962071754072, 0.6322339687299237, 0.5778887067464412, 0.4291987492601883, 0.40116387688157573]","['냄새', '침구', '깔끔', '화장실', '담배']","[-0.7999759871938877, -0.662597738659718, -0.5382366139700807, -0.47111286677746245, -0.41222297361727317]"
호텔난타,"['여행', '가족', '난타', '사용', '소리']","[1.2951666843124896, 0.6564606209012369, 0.5139563607005233, 0.5014842682533884, 0.4811470473316244]","['객실', '식사', '창문', '아침', '서비스']","[-0.868609612819704, -0.7295928004515431, -0.645497863735107, -0.6054288910921766, -0.5002406366050879]"
호텔 샬롬,"['여행', '조식', '샬롬', '침대', '커서']","[0.4891164350013808, 0.43707723744406385, 0.3772354257873884, 0.3513319081824341, 0.2842526474844584]","['욕조', '위치', '객실', '깨끗', '바다']","[-0.7400314414711591, -0.6515522435393898, -0.5886330280327563, -0.5516371269616074, -0.4829058497919736]"
호텔 시리우스,"['수영장', '여행', '컨디션', '수영', '제주도']","[0.717683893623777, 0.5093378328158655, 0.4895733101929995, 0.3877892040901747, 0.3404892095512491]","['객실', '소리', '조식', '시설', '깨끗']","[-1.0659911208947201, -0.6001958284016303, -0.5832079783734584, -0.5423725697273869, -0.5260523090310036]"
다인리조트,"['깨끗', '여행', '수영장', '바다', '라이브']","[0.45703239382636307, 0.4123642681568358, 0.3625886766658919, 0.29580411855351063, 0.2850021650304459]","['냄새', '시설', '청결', '신경', '별점']","[-0.5133143773831582, -0.31295917366416526, -0.2978681069531392, -0.26870503811937485, -0.24323850458851198]"
올레리조트,"['수영장', '가족', '올레', '아이들', '동남아']","[1.0940841255035108, 1.00320402706066, 0.7760336266381559, 0.4471372162298362, 0.44616169869218203]","['조식', '깔끔', '직원', '화장실', '전반']","[-1.1218170020568383, -0.465902158463912, -0.46384780063566927, -0.4634968242594438, -0.4360400145756011]"
수앤수리조트(구.수앤수가족호텔),"['깔끔', '사용', '준비', '가격', '객실']","[0.45743553311682844, 0.4224106800359058, 0.4219824366113744, 0.3983894514425038, 0.39014473400220484]","['여행', '냄새', '고양이', '친절', '방음']","[-0.6367695391838806, -0.4741069507857321, -0.41976585435063857, -0.3427236198828283, -0.302042672985324]"
네스트호텔(NEST HOTEL),"['여행', '직원', '가격', '아기', '따뜻']","[1.4737758880146594, 1.4161748969351868, 1.287011175137966, 1.119566292475334, 0.7395828977363009]","['조식', '시설', '객실', '공항', '청결']","[-1.1340835857853937, -1.0473941784049092, -1.005230885056034, -0.876381508895162, -0.7510269869340702]"
파라다이스시티,"['사람', '가족', '평일', '저렴', '패키지']","[0.9948575566682237, 0.7291181225386418, 0.5586316574454224, 0.5077539218239773, 0.40410736325547436]","['수영장', '체크아웃', '인천', '공항', '공사']","[-0.8657107863186512, -0.5054101394330169, -0.49826222905853673, -0.4351352868526805, -0.42370521262574956]"
라까사호텔 광명,"['깔끔', '시설', '주차', '동굴', '글래스']","[0.7030109398551951, 0.40557145034065356, 0.3867902902621192, 0.21443743272755011, 0.18319930728426584]","['위치', '이케아', '직원', '욕조', '깨끗']","[-0.4659662399039208, -0.4297989306940836, -0.3684800770750923, -0.354151163230033, -0.3280442234995252]"
아셈호텔,"['사용', '시설', '평일', '깔끔', '이벤트']","[0.3443805741663613, 0.3297108336760887, 0.29805392931166574, 0.2738012311669939, 0.2690806928704395]","['가격', '깨끗', '직원', '객실', '도시락']","[-0.5958178764789231, -0.582709100733703, -0.4305426941065023, -0.4129867993983645, -0.3819407658558807]"
여주 썬밸리 호텔,"['적극', '깔끔', '깨끗', '친절', '준비']","[0.2502678701089894, 0.23992395622046997, 0.16434749668730328, 0.1468831473546164, 0.1253858688972623]","['조식', '아쉬움', '먼지', '시설', '기분']","[-0.4272155813589457, -0.24691087823209903, -0.2132701684841295, -0.18272902852899583, -0.15781718663947164]"
베니키아 노블호텔,"['종로', '가격', '물건', '서비스', '인사동']","[0.3698242525379524, 0.32880216215420804, 0.30885766388696195, 0.2806954492998042, 0.26712747825851924]","['제가', '수건', '말씀', '직원', '만원']","[-0.6706792671480274, -0.6348034805074063, -0.5392481765536834, -0.4944627222238153, -0.40338417436876256]"
디아크리조트,"['친절', '객실', '가능', '직원', '마스크']","[0.3029148948816226, 0.19990513206356347, 0.1953556280228616, 0.17608303829626618, 0.14922823154647125]","['수영장', '아크', '욕실', '여수', '주차장']","[-0.15265113295080251, -0.15184156724798534, -0.13119165172015673, -0.12164815034132638, -0.11678000525156375]"
라한호텔 전주,"['온도', '주차', '주차장', '편의점', '청결']","[0.30763375758082734, 0.29395231261720883, 0.27029331206616697, 0.24602066728478428, 0.2406531628196638]","['직원', '조식', '위치', '깨끗', '이용한']","[-0.5401128805429443, -0.48938101344530754, -0.48559956857616476, -0.3635833252609033, -0.3104856139067597]"
엔브릿지 호텔,"['숙박', '샐러드', '사용', '기분', '조식']","[0.35618962029567564, 0.344585564080214, 0.33619185668901, 0.2904632325149814, 0.2760218754564778]","['스파', '서비스', '화장실', '침대', '모텔']","[-0.5761492967671772, -0.4827259106387221, -0.4596497076133068, -0.4321972623022285, -0.39759817617158855]"
베니키아아리울,"['청결', '객실', '별거', '준비', '지대']","[0.45757328490349364, 0.37529616002626853, 0.3544075306798528, 0.31242590569826567, 0.24697062163459602]","['위치', '시내', '관광', '아침', '가격']","[-0.8619468104611261, -0.5772009750520031, -0.3992727403338543, -0.38638568313600474, -0.37489522426840444]"
라마다제주시티,"['가격', '깔끔', '여행', '시내', '맛집']","[0.9233482014576359, 0.9068760175283682, 0.6666068751179351, 0.6652734772513507, 0.5091566093646801]","['위치', '조식', '깨끗', '편안', '직원']","[-1.1909741893357186, -0.9885433042170536, -0.8542406233042955, -0.6972057117304642, -0.643030886306592]"
라마다제주함덕,"['가격', '에어컨', '이불', '도움', '해수욕장']","[0.6657590604684523, 0.4811216235773966, 0.4060656705942285, 0.36576111008068757, 0.3591196289289757]","['해변', '깔끔', '서비스', '친절', '깨끗']","[-1.2637004368020135, -1.073947098034736, -1.0671859030089113, -0.9880675706608869, -0.832475046034556]"
호텔 케니 서귀포,"['깔끔', '주차', '여행', '위생', '공영']","[0.7402209778727993, 0.7183788437562366, 0.6950904834902675, 0.5880651077636827, 0.575154166096563]","['조식', '객실', '화장실', '직원', '시장']","[-1.3983241133283115, -1.3386825659634607, -0.8841217444086662, -0.7215246675249135, -0.6951483386667554]"
호텔 케니 여수,"['야경', '택시', '시설', '여행', '관광지']","[0.520490378378814, 0.37259764321595057, 0.32373009090540067, 0.2942702925222807, 0.2884174415331249]","['위치', '주차장', '화장실', '깨끗', '냄새']","[-0.8864479450240423, -0.8562779478326694, -0.6947029900771993, -0.6938375665391217, -0.6159710045862644]"
