LDGS_NM,AFRM_KWRD_CN,AFRM_WGHTVAL_SCORE,NEGA_KWRD_CN,NEGA_WGHTVAL_SCORE
켄트호텔 광안리 바이 켄싱턴,"['깨끗', '파티', '라운지', '전망', '깔끔']","[3.881208128887388, 2.423651566569226, 1.7505346367492434, 1.3617191721395858, 1.3422769228728126]","['위치', '컨디션', '조식', '광안리', '전화']","[-2.7610248481104747, -2.5861205885369456, -1.746896763823435, -1.2375395108828995, -1.2234732167752393]"
에이큐브 호텔,"['커튼', '청결', '친절', '여행', '서비스']","[0.4824594278280048, 0.3641753022431998, 0.32816473515397665, 0.24734065594122162, 0.22451723382445266]","['가격', '위치', '객실', '광장시장', '거리']","[-0.9788135876715401, -0.7485864172305781, -0.6791103490830283, -0.3753272166486418, -0.35128692274625267]"
코트야드 메리어트 남대문호텔,"['패키지', '매트리스', '와인', '과일', '선택']","[0.6024249877573945, 0.2901480162661942, 0.28531837251194964, 0.2569982343199681, 0.25314543173537823]","['라운지', '조식', '직원', '주차', '위치']","[-0.6140217352118441, -0.5050612263259547, -0.4194535603767186, -0.3715400678281947, -0.29769723076985627]"
G2 호텔,"['루프', '기회', '주차', '조용', '처음']","[0.6074240842386601, 0.4175727942913273, 0.2712866793253519, 0.2669909653155621, 0.19748523997549253]","['컨디션', '전반', '숙박', '편안', '여행']","[-0.41435365239530136, -0.3632413130883468, -0.31810703688406516, -0.2853099568263419, -0.2804681467487963]"
임피리얼 팰리스 부띠끄 호텔,"['친절', '직원', '깨끗', '이태원', '창문']","[1.2662338606906305, 0.9251174019328425, 0.8153935905708335, 0.5207804128631153, 0.4920052875718846]","['숙박', '객실', '소음', '서비스', '거리']","[-1.2632962044869678, -1.175222969377237, -0.7806326367883802, -0.7122191266663017, -0.6111462380432983]"
호텔 더 디자이너스 서울역,"['깨끗', '객실', '업그레이드', '거울', '머리카락']","[1.0453473184534208, 0.7000845682443917, 0.6902644675667443, 0.6725878975538356, 0.6434662676461985]","['위치', '조식', '침대', '아침', '방음']","[-1.7193280153173442, -1.2126915237380478, -0.8843956464081209, -0.7932962113257535, -0.719393774093391]"
호텔 포코(POCO),"['객실', '직원', '주차', '사진', '접근성']","[0.6672595119170145, 0.5041740094016282, 0.4884901253805121, 0.448132186557463, 0.3953100479676293]","['위치', '소음', '소리', '욕실', '지하철']","[-1.4126580072957557, -0.41343436297572606, -0.37042722349792206, -0.28664410775045945, -0.2572123554636782]"
스위스그랜드호텔,"['시설', '뷔페', '사람', '친절', '수영장']","[0.6640788705718457, 0.5935688226209674, 0.40238982528074446, 0.3993473979828237, 0.3711160414311547]","['직원', '가격', '먼지', '객실', '성급']","[-0.7314092909920125, -0.4786784351182802, -0.44479114766278566, -0.4362312981487278, -0.39067248052496484]"
㈜호텔롯데 롯데시티 호텔마포,"['조어', '대전', '커피', '사용', '직원']","[0.7808258482583214, 0.36411385626987763, 0.2548637482465945, 0.2460676304756653, 0.2373890746200849]","['수영장', '시설', '편의', '근접', '조식']","[-0.7395473759957497, -0.5885362713818533, -0.5611763603547489, -0.5278613469428823, -0.5053277356267535]"
아만티 호텔 서울,"['바탕', '친절', '시설', '직원', '서비스']","[5.352094381894791, 2.4151365824595223, 1.8971116044239873, 1.7208422187482255, 1.5399920790532786]","['위치', '조용', '수영장', '가격', '깔끔']","[-3.5034050023926366, -2.9870128517501233, -1.9895437652029373, -1.9700586536358178, -1.509609259234324]"
메이필드 호텔,"['아이와', '수영장', '기분', '시설', '저녁']","[1.7664448951188878, 1.6654981303758742, 1.4542415720867163, 1.2617144561073101, 1.1789395983837787]","['가격', '공항', '조용', '깔끔', '위치']","[-4.552782010800381, -3.575833788902744, -2.6683172293923794, -2.2347549212554596, -2.0786351029352885]"
SR 호텔 마곡,"['따뜻', '난방', '고급', '건조', '바닥']","[0.5382622555747244, 0.505110720307981, 0.4967588669886066, 0.4404451463945358, 0.4072165981488314]","['수영장', '조식', '화장실', '욕조', '서비스']","[-1.0988896358610531, -0.7752474149757668, -0.6756946203320003, -0.6264630482251656, -0.5801427295996561]"
스타즈호텔 독산,"['깔끔', '조식', '롯데마트', '비롯', '직원']","[0.5094796211458761, 0.46503423624242857, 0.3718692294953473, 0.2968178427435308, 0.2677241861412918]","['청결', '주차장', '객실', '깨끗', '냄새']","[-0.6352185162303597, -0.6056685095053733, -0.5894499612171337, -0.5650202114574975, -0.542819131388978]"
켄싱턴호텔 여의도,"['시설', '주차', '깔끔', '깨끗', '노후']","[2.4307336095259355, 1.6592871192969445, 1.2481615793822114, 1.2169979404756253, 1.037593164571342]","['위치', '조식', '여행', '업그레이드', '화장실']","[-3.701107261605066, -1.5543430300127359, -1.3786187000321097, -0.961357516428799, -0.9387473909074823]"
신트라(SINTRA) 호텔,"['게임', '컨디션', '안전', '제일', '직원']","[0.6803117563535093, 0.4030755532527089, 0.30103333643270375, 0.28615707252300254, 0.2733942781140379]","['깔끔', '사용', '주차', '욕실', '욕조']","[-0.8539535028053099, -0.23660989666326399, -0.21987418723720176, -0.21655612482696976, -0.18116252395149404]"
신라스테이 서초,"['깨끗', '깔끔', '친구', '저렴', '시설']","[2.0987793346695924, 1.7921800619248307, 1.5714535763960116, 1.510161160706406, 1.2987990390300341]","['위치', '직원', '침구', '위생', '서비스']","[-4.925981592863319, -2.021532927676724, -1.5571785853836937, -1.496424451573768, -1.462099702251968]"
산청한방가족호텔,"['깨끗', '적당', '가격', '친절', '휠링']","[0.34565421135056806, 0.19099394288537047, 0.18820388236799804, 0.11252837939478305, 0.11183997165327947]","['위생', '편안', '숙박', '도착', '침구']","[-0.17411043738115034, -0.12351368993698202, -0.12213039841558174, -0.11037173583867775, -0.10764661780459554]"
베니키아 양산호텔,"['창문', '직원', '주말', '조용', '평일']","[0.4229567630163857, 0.3216215841587691, 0.26007510995355815, 0.20313677529813157, 0.2013265055061847]","['가격', '식당', '조식', '깔끔', '침대']","[-0.45131317652886865, -0.4456252883047877, -0.4329567649599717, -0.41975947738350655, -0.35982346707715485]"
호텔 아리나,"['밀양', '화장실', '침대', '깔끔', '고민']","[0.4843843049625304, 0.4203116801905479, 0.36693138390969465, 0.24318210130406903, 0.2368806831458594]","['방음', '옆방', '시설', '소리', '샤워']","[-0.28252649037063293, -0.2748918743678633, -0.2687033494325793, -0.25807714172075175, -0.2209751392144711]"
아이스퀘어호텔,"['깨끗', '시설', '오픈', '서비스', '코로나']","[2.20194005114244, 1.5469496827373368, 1.0463596794804435, 0.9225613409592393, 0.8458057577421437]","['위치', '가격', '조식', '아침', '여행']","[-2.8277345513520618, -2.7111810217856678, -1.3045093799456675, -1.1117344224583356, -0.9751899500451353]"
엠버 퓨어힐 호텔 & 리조트,"['친절', '직원', '만점', '조식', '부모']","[0.31769204799639844, 0.2707835671279642, 0.23544927211417838, 0.23201531724586053, 0.2171518575604408]","['동반', '가족', '여행', '지금', '바닥']","[-0.3345492473734484, -0.25055114405969675, -0.1570754979232057, -0.1487370900040375, -0.14610975527372239]"
노형호텔,"['친절', '직원', '응대', '청결', '당일']","[0.7221182171728548, 0.360923346017277, 0.20184309693570462, 0.19570411768736012, 0.1664807185603842]","['주차장', '깨끗', '공항', '침대', '공영']","[-0.5865090080803465, -0.27271780009167784, -0.26803746619700763, -0.26484365392960607, -0.24191715371962452]"
호텔 인터내셔널 창원,"['창원', '깨끗', '냉장고', '모텔', '가격']","[0.9106120615201674, 0.5907777289045476, 0.41560458677558615, 0.39794524994020486, 0.3671172229123005]","['직원', '주차장', '객실', '주차', '조용']","[-1.0667034351048643, -0.9263702407733361, -0.9177478862859791, -0.6591666402159306, -0.6415127383624782]"
스카이베이경포,"['슬리퍼', '직원', '강릉', '여행', '위생']","[2.4928658000810517, 2.1831017055657287, 1.5441616930268072, 1.468619435872483, 1.2613496554551722]","['인피니티', '바다', '주차장', '서비스', '주차']","[-1.9171944561861813, -1.6257678306709353, -1.6055835557932847, -1.53776963578106, -1.5132517619397758]"
밀리오레 서울 명동,"['비지', '방음', '침대', '창문', '남산']","[0.9417726431006437, 0.7768589459563249, 0.6386198900996237, 0.6091653967143678, 0.5708219512777971]","['교통', '온도', '서비스', '전화', '이불']","[-0.718772156537106, -0.6400676846112391, -0.6387683936614501, -0.6269190811198856, -0.5786103094825841]"
라마다호텔앤스위트서울남대문,"['구비', '코로나', '인정', '친절', '직원']","[0.5005510058465343, 0.46886710854631225, 0.4349914441242927, 0.4094172290530028, 0.4008725580855244]","['남대문', '조식', '위치', '깔끔', '객실']","[-0.6674814063585911, -0.6054394055720128, -0.4024189780674335, -0.37788105119099136, -0.3375285635772674]"
"(사용X, 삭제예정)라온스테이 인 페를라","['저렴', '침구', '따뜻', '코로나', '온돌']","[0.9049096390561043, 0.5826875964773186, 0.5578525528558627, 0.34703901014286, 0.31302924066698434]","['침대', '객실', '위치', '진주', '커피']","[-0.8924383894152972, -0.6749743760083565, -0.598513064325546, -0.5644079848070617, -0.5631857940217361]"
청주 제이원,"['친절', '지도', '크리스마스', '공항', '직원']","[0.6801185014730549, 0.338965246587141, 0.336024377325016, 0.3201117294089375, 0.2997101592613552]","['주차', '가격', '깨끗', '조식', '건물']","[-0.5394599050404565, -0.4926058001816897, -0.4592454570318721, -0.39562688579812705, -0.33666758739590963]"
엘시티 레지던스,"['친절', '부모', '직원', '객실', '예정']","[0.47333001493240834, 0.4152575260929053, 0.3261698317985088, 0.32366053570958403, 0.2982122296749542]","['시설', '깨끗', '청결', '숙박', '훌륭']","[-0.9629223813658191, -0.5478664966134855, -0.5113773571733096, -0.49723966234732164, -0.4584981126609926]"
라마다 앙코르 해운대,"['가격', '진짜', '위치', '청결', '편의점']","[1.0930824267489396, 1.0456866544622774, 0.6319497235465035, 0.5035949774989664, 0.4443064318429672]","['침구', '접근성', '해운대역', '먼지', '공사']","[-1.0975369479463983, -1.0246917152959192, -0.894420544402279, -0.7643634328966212, -0.6862513055871475]"
ACC DESIGN호텔,"['조식', '청소', '깔끔', '라운지', '남자친구']","[0.6108548653321548, 0.6108124977752134, 0.5926836421589247, 0.31691834578005723, 0.23057561273773727]","['냄새', '직원', '서비스', '가능', '모텔']","[-0.4708221825069025, -0.4615399402493672, -0.3792894322609471, -0.32285454416522036, -0.31964961424123567]"
호텔수성,"['대구', '시설', '전망', '힐링', '마스크']","[1.3248851890268345, 1.0389222357439694, 0.6799665813028561, 0.5733805411564625, 0.5652447985297392]","['조식', '자쿠지', '추가', '상품', '인피니티']","[-1.2916252442670144, -1.230376210817911, -0.999839732916465, -0.957150180589022, -0.7145823758410632]"
힐튼 호텔 경주,"['수영장', '조식', '경주월드', '대기', '물놀이']","[1.4813675845436318, 0.9754108412397627, 0.7493010039757229, 0.6282835130917074, 0.5848115161947163]","['위치', '여행', '벚꽃', '문호', '편안']","[-1.6879160252936383, -1.011026000442305, -0.933259873892413, -0.6625378891789951, -0.6531372046890038]"
라한셀렉트 경주,"['방음', '모델링', '우수', '대기', '소리']","[0.6998871499393199, 0.6833528166122231, 0.5888504340741965, 0.4984882087811503, 0.4117537755272495]","['가격', '가족', '할인', '편안', '투숙객']","[-0.7891395456485175, -0.4651923890786177, -0.4609796532517954, -0.4077829409813983, -0.3966665261361494]"
경주 코오롱호텔,"['조식', '깔끔', '노후', '사진', '욕실']","[1.7665759578587241, 1.5861385945283042, 1.0142208000192139, 0.9105791015570514, 0.7781914410784859]","['객실', '가격', '숙박', '공기', '위치']","[-2.6908837344340104, -2.5758819034010236, -1.9523299090166688, -1.8562227332303718, -1.1992875816580506]"
코모도호텔 경주,"['깨끗', '관리', '소리', '웰리', '덕분']","[2.1978100087387156, 1.8670877838159232, 1.3907290681095943, 1.2793446614952961, 1.177206955354082]","['가격', '위치', '시설', '조식', '문호']","[-6.354939820016892, -4.659452227037171, -2.837372669147335, -2.828076951527918, -2.784082167698007]"
아리수경주호텔,"['객실', '깔끔', '위치', '실내', '친절']","[0.3331636485304587, 0.3192077885913114, 0.24948825608603448, 0.24898627057712897, 0.20988668146744952]","['프론트', '불국사', '직원', '모텔', '청결']","[-0.3634548350265053, -0.34400734309207803, -0.33548070172108485, -0.3197615308062949, -0.3002891447993938]"
주왕산 온천관광호텔,"['친절', '직원', '깨끗', '공급', '사우나']","[0.4148370529645476, 0.2734629045212273, 0.23587128957402273, 0.2035116136207328, 0.18477724197487747]","['조식', '화장실', '사용', '따듯', '조용']","[-0.3373050315052912, -0.20942313737167295, -0.20766679714002248, -0.19533657739797922, -0.18643677521799562]"
호텔 삼정,"['친절', '위치', '숙박', '조식', '삼정']","[0.408528778528275, 0.3100878765704219, 0.2764331018450357, 0.25143857056563096, 0.22320002289593632]","['냄새', '맥주', '담배', '시설', '바퀴벌레']","[-0.4705805851001024, -0.36582300531503426, -0.2458483881672778, -0.2330680242499033, -0.22103243618189208]"
노보텔앰배서더 강남,"['시설', '깔끔', '객실', '로비', '침구']","[0.7969223393641067, 0.733848248813277, 0.6037404834883515, 0.36505572323502633, 0.35876118979297206]","['깨끗', '편안', '사람', '수영', '조식']","[-0.6354970067580328, -0.6222833303575951, -0.5234795688054571, -0.5041399195463989, -0.4842557127430681]"
베스트 웨스턴 프리미어 강남,"['무난', '주차', '객실', '가격', '서비스']","[4.656759456034355, 2.3099710398699855, 2.0814041971645802, 1.7950447903042335, 1.5956007612352858]","['위치', '직원', '바탕', '조식', '에드']","[-5.0840626826228705, -2.49082584913535, -2.064767953174734, -1.7218596333155014, -1.697927081628435]"
호텔 신라스테이 역삼,"['깔끔', '합리', '상품', '보기', '제일']","[6.238883499930234, 2.003045850540567, 1.9892901461995003, 1.6756138281257789, 1.3899940842131873]","['청결', '스태프', '가격', '위치', '역삼역']","[-3.3220796701427497, -2.82653513160378, -2.3521041783380796, -2.097690213687301, -1.9524950417188542]"
호텔 카푸치노,"['침대', '공사', '주차', '기분', '커서']","[1.7937016307366818, 0.905594639520102, 0.8332728385315545, 0.771737413288151, 0.7664612840888541]","['강아지', '객실', '가격', '사용', '위치']","[-1.9359630299701915, -1.5274077412736826, -1.2761766803160046, -1.1031590892127996, -0.9467711753646851]"
글래드 강남 코엑스센터,"['코엑스', '깨끗', '깔끔', '숙박', '접근성']","[2.259556493573367, 2.1338745248339825, 1.2145583197048355, 1.148159371148175, 1.0020899425427312]","['위치', '비지니스', '직원', '적극', '여행']","[-2.8173115990709006, -2.430254259253103, -2.383347887205674, -1.383534295592037, -1.0082415152755222]"
호텔 뉴브,"['욕조', '조용', '화장실', '위치', '가능']","[0.7130168982960085, 0.6969141113784415, 0.6253851379290999, 0.6108747582859471, 0.472415907499107]","['시설', '편안', '전반', '청결', '주차']","[-0.9635609585150134, -0.786495339145491, -0.734379154995538, -0.641968115098785, -0.6305105940631348]"
호텔 크레센도 서울,"['에어컨', '객실', '가운', '슬리퍼', '청결']","[0.6840551931468603, 0.6682089652057076, 0.6063940484690378, 0.5170441168961368, 0.50697337836038]","['침대', '숙면', '공간', '위치', '계속']","[-1.6054630969585464, -1.1160607386233834, -0.7023999861369511, -0.5490544057473664, -0.5436506689712303]"
에이든 바이 베스트 웨스턴 청담,"['친절', '깔끔', '객실', '직원', '기분']","[0.7216891898693851, 0.35348454726641304, 0.2613121601353583, 0.2298859164100775, 0.20043048348305534]","['위치', '나쁘지 않아', '깨끗', '가격', '결혼식']","[-0.954035820725436, -0.47604648798763427, -0.42419713015583804, -0.3224301199718285, -0.2875636206575172]"
호텔 인 나인,"['인나', '나쁘지 않아', '깨끗', '객실', '인테리어']","[1.7911076111155704, 1.6178169832001588, 1.1098829658484033, 0.7011057093098477, 0.6015690253440117]","['위치', '코엑스', '가격', '소음', '침구']","[-2.0490515122665798, -1.3877380096643042, -1.3063624838821584, -0.9765123597843465, -0.8671165043634846]"
신라스테이 삼성,"['위치', '가격', '삼성', '깔끔', '아베']","[1.7531299535833906, 1.0286335083496798, 0.9201195959707561, 0.7826320135142084, 0.7322468653805122]","['직원', '공사', '침구', '조식', '가능']","[-1.462974384109092, -1.2347626514589662, -1.1976294993017869, -1.1955997574724508, -0.8236541315203355]"
호텔안테룸서울,"['깔끔', '청소', '가격', '가로수길', '인테리어']","[0.6139533393573424, 0.5943999426965233, 0.3735103359266994, 0.3693787252631314, 0.31868513897302403]","['위치', '깨끗', '소음', '샴푸', '고체']","[-0.7452536178633338, -0.4921956999983408, -0.48368351853756647, -0.43368069849406304, -0.42919596555404116]"
(주)파로스 관광호텔,"['친절', '업그레이드', '코로나', '연장', '잠실']","[1.4108117907087327, 0.33488541421802714, 0.28282369219665193, 0.2194597049427081, 0.21836363257783503]","['객실', '위치', '교통', '욕실', '조식']","[-1.6659596073745115, -1.142765900169744, -0.745973685273934, -0.6994440618597176, -0.5054811830985799]"
부산 호텔 마레,"['냄새', '광안리', '가격', '위치', '여행']","[0.31230691091758517, 0.207975609615493, 0.19968470345351272, 0.19694520783956845, 0.14018556428702136]","['소음', '친절', '모기', '처음', '만원']","[-0.3308730636400241, -0.3186584063816108, -0.2868036962625, -0.2699010530088107, -0.21825685933899205]"
부산 문현동 정성호텔,"['친절', '깔끔', '깨끗', '객실', '인테리어']","[0.6482577269711871, 0.5194880338997884, 0.3669703431307867, 0.3184432541613214, 0.28674251099291737]","['샤워', '향기', '제품', '방안', '세정']","[-0.6100514945911636, -0.5904201306786924, -0.3504780490101895, -0.31547377404152877, -0.3138597921403469]"
호텔 위드스테이 제주,"['건물', '직원', '가능', '로비', '청결']","[0.3547333991193557, 0.2581330239426838, 0.2578333646899794, 0.23168850559020385, 0.22089076192199925]","['위치', '시설', '주차', '차량', '깨끗']","[-0.8195300982782374, -0.43555221994054183, -0.43520529309519723, -0.3684512257978685, -0.31720470381181837]"
해운대 센텀 호텔,"['가격', '여행', '해운대', '깨끗', '우수']","[1.367010964590928, 1.1551157540727415, 1.1261900479288838, 0.9920237338385369, 0.5479424643283561]","['객실', '욕조', '관리', '바닥', '화장실']","[-1.1301640489604807, -0.9853498900277697, -0.8179874018829248, -0.807318588538148, -0.799694578833206]"
베스트루이스 해밀턴 호텔 기장,"['기장', '메트리스', '분도', '침대', '컨디션']","[0.590530750800085, 0.4515283339743691, 0.36928162901015577, 0.36102208920940093, 0.3209629683800137]","['상태도', '여유', '일요일', '프런트', '모텔']","[-1.2499617565502388, -1.0044970030386644, -0.7870798472160926, -0.7031902023960359, -0.5413994276178287]"
타워힐 호텔,"['위치', '시설', '여행', '깨끗', '요금']","[0.8544130817555659, 0.6049495728808106, 0.3821867660188447, 0.34800130058366757, 0.29026438670817417]","['프론트', '에어컨', '직원', '숙박', '침대']","[-0.6117965420087013, -0.5360552495185708, -0.5308609779168607, -0.4491975386963339, -0.4026129404230915]"
호텔 포레 프리미어 남포,"['타워', '국제시장', '체크아웃', '주차장', '천원']","[0.682569123421519, 0.6700283022232939, 0.6294567112539742, 0.5395832411722753, 0.5377758354509681]","['샌드위치', '위치', '시내', '접근성', '쇼핑']","[-1.277421088827456, -0.9532998776108558, -0.848713751012967, -0.8408831981237669, -0.8286686344109065]"
호텔 아벤트리 부산,"['깨끗', '여행', '가격', '가족', '위치']","[0.854793764688728, 0.41618412796982485, 0.3334838098290778, 0.2582318921365606, 0.251554960797932]","['시장', '국제시장', '냄새', '숙박', '택시']","[-0.6314695470192322, -0.52611133466919, -0.4429850078230845, -0.3455123287894128, -0.33970418914031203]"
코모도호텔 부산,"['직원', '깨끗', '저렴', '친절', '접근성']","[1.3973816911716748, 1.394746774243778, 0.8322449868634142, 0.7928816848474869, 0.7926138434755762]","['조식', '객실', '청결', '아침', '식사']","[-2.736068454942615, -1.4897741507598823, -1.3480621781063675, -1.3311945083863042, -1.1287331860193957]"
베스트 루이스 해밀턴 해운대,"['깨끗', '친절', '해운대', '침구', '아늑']","[2.634741791790034, 2.0181875330566337, 0.8330268333038575, 0.832770074374018, 0.8062010747253429]","['위치', '조식', '조용', '가격', '여행']","[-3.4077417208485614, -2.2424813664499683, -1.3390488618611547, -1.025253325033759, -0.8270549461018001]"
부산 라메르 호텔,"['무료', '해수탕', '시설', '감동', '찜질방']","[0.5080898705731768, 0.3959353189331186, 0.36063069281607263, 0.3233544040217404, 0.3150936078950684]","['위치', '가격', '헬스', '해수', '컨디션']","[-0.689139930945361, -0.48549539613812975, -0.38117526402056445, -0.36683923777783023, -0.36167326132866034]"
호텔포레 더 스파,"['친절', '여행', '깨끗', '야외', '저렴']","[0.4663745475950304, 0.4252467219539128, 0.3794522959274957, 0.34799193539717266, 0.33046595618904256]","['욕조', '입욕', '정말', '부산역', '쌀국수']","[-0.6409491859479907, -0.6202409756477998, -0.42511472027374914, -0.40206832597034226, -0.3939675908462916]"
아스티호텔 부산역,"['시설', '위치', '깨끗', '위생', '선택']","[0.7571366793472449, 0.4955173405890011, 0.45328603548471424, 0.3707162796301715, 0.24724306673046045]","['조식', '주차', '주차장', '객실', '여행']","[-1.4763717821466, -1.3482989521144824, -0.8313720374361053, -0.7115908958535295, -0.5858946060461497]"
부산 서면 퀸스호텔,"['친절', '서비스', '인테리어', '지역', '숙식']","[0.48297454794067274, 0.2292133169371633, 0.16471004453411425, 0.16181183563111567, 0.16181183563111567]","['위치', '가격', '모텔', '전화', '여행']","[-0.9071369488266933, -0.5512148031012856, -0.4796366702477431, -0.3011191588678599, -0.3005221832582439]"
부산 서면 하운드 1번가점,"['친절', '업그레이드', '따뜻', '전화', '냄새']","[1.838795977590531, 1.2265944773509356, 0.6608262066483251, 0.5240905569127301, 0.485661252536486]","['조식', '위치', '주차장', '서비스', '친구']","[-2.311143523997436, -1.236520321314798, -1.0473908049077996, -0.9679223158931868, -0.7804375768479112]"
오션 디 그랩 송도,"['조용', '가족', '가격', '위치', '깨끗']","[0.894519161012962, 0.6603636011227846, 0.5077690060677552, 0.5036563808036527, 0.49703887617542425]","['객실', '청결', '주차장', '모기', '기분']","[-1.087553355097346, -0.9894490001293514, -0.8954904122355308, -0.8202213170407572, -0.647701366271835]"
엘리시아부띠크호텔(해운대),"['친절', '깨끗', '수건', '운영', '조식']","[0.8966721980165069, 0.42045081183776023, 0.38510269724674534, 0.3298199273363352, 0.3244988406363157]","['위치', '주차장', '방음', '소리', '화장실']","[-0.9257276558020879, -0.6398345740429832, -0.5995030426620565, -0.48975535810719867, -0.4624542639177166]"
해운대 썬클라우드 (호텔),"['시설', '가격', '노후', '친절', '직원']","[1.5716195767768684, 1.2892280379842165, 0.9552015370254797, 0.5495854623113217, 0.5251212424456215]","['해운대', '청소', '깨끗', '수건', '바닥']","[-1.432646912384458, -1.4288083177969182, -1.2743170953008578, -0.7734926039549274, -0.7198542313706228]"
오션투헤븐호텔&스파,"['직원', '화장실', '욕조', '깨끗', '베개']","[0.4124510925563978, 0.3988506360457675, 0.3009426386558714, 0.20815742045631652, 0.1970817943034716]","['맛집', '위치', '자갈치', '조건', '친절']","[-0.361388573603093, -0.3059653187191369, -0.1539763314121814, -0.15238579161173088, -0.15001891484406657]"
커넥트 부산 호텔,"['광복', '정갈', '오픈', '깨끗', '거리']","[0.3879294194051869, 0.308258553167683, 0.2965509774460729, 0.2754904084550824, 0.2413769745113949]","['위치', '직원', '크기', '자갈치', '이동']","[-0.9829268652199618, -0.31672923162079425, -0.3074631435001414, -0.30039417995212014, -0.2802877090051158]"
해운대 영무파라드호텔,"['애견', '사진', '바다', '친구', '해운대']","[0.40523753693226156, 0.390563294320708, 0.36859058063721317, 0.36589848608965725, 0.35319507251710536]","['직원', '친절', '주차장', '주차', '반려']","[-0.38472014366445123, -0.2921161440963652, -0.28570049823729793, -0.28402080887072373, -0.26474302537932726]"
해비치 호텔 & 리조트,"['신혼여행', '제가', '객실', '음식', '침대']","[0.45084863421352755, 0.34302086566043644, 0.3023924653926006, 0.2904367464385773, 0.27218992940410525]","['컨디션', '시설', '가격', '겨울', '아기']","[-0.4930755502999539, -0.46393649614201526, -0.43988231310120535, -0.43091586373886276, -0.41634594628661364]"
숙박대전 에이본 호텔 군산,"['시설', '청결', '이불', '샤워', '적당']","[0.8473383630670525, 0.39046428733645244, 0.32407149302983485, 0.2760364135409811, 0.26399343678865284]","['위치', '냄새', '가격', '저렴', '청소']","[-1.3162001376532988, -0.6097296179565882, -0.5472826618299901, -0.5104566571827394, -0.4445110042920896]"
