AREA_NM,EXTRC_KWRD_CN,KWRD_FQ_CO
부산광역시,위치,2457
부산광역시,친절,1949
부산광역시,깨끗,1784
부산광역시,직원,1590
부산광역시,깔끔,1440
부산광역시,여행,1408
부산광역시,가격,1287
부산광역시,시설,1231
부산광역시,객실,1229
부산광역시,해운대,1136
부산광역시,주차,855
부산광역시,조식,842
부산광역시,바다,730
부산광역시,침대,724
부산광역시,청결,703
부산광역시,화장실,666
부산광역시,가족,665
부산광역시,청소,493
부산광역시,컨디션,483
부산광역시,서비스,468
부산광역시,침구,449
부산광역시,주차장,441
부산광역시,숙박,436
부산광역시,가능,424
부산광역시,편안,415
부산광역시,부산역,393
부산광역시,편의점,360
부산광역시,저렴,344
부산광역시,소리,342
부산광역시,사용,331
서울특별시,위치,1758
서울특별시,친절,1420
서울특별시,깨끗,1256
서울특별시,직원,1167
서울특별시,깔끔,1121
서울특별시,객실,912
서울특별시,시설,802
서울특별시,가격,796
서울특별시,조식,715
서울특별시,침대,603
서울특별시,주차,570
서울특별시,청결,531
서울특별시,화장실,508
서울특별시,컨디션,375
서울특별시,서비스,370
서울특별시,침구,345
서울특별시,숙박,340
서울특별시,방음,331
서울특별시,청소,330
서울특별시,여행,315
서울특별시,소리,310
서울특별시,편안,296
서울특별시,조용,292
서울특별시,욕조,283
서울특별시,가능,271
서울특별시,접근성,257
서울특별시,소음,251
서울특별시,냄새,231
서울특별시,따뜻,224
서울특별시,가족,221
제주특별자치도,친절,1503
제주특별자치도,깨끗,1414
제주특별자치도,위치,1401
제주특별자치도,직원,1322
제주특별자치도,가격,1050
제주특별자치도,조식,1042
제주특별자치도,여행,1001
제주특별자치도,객실,926
제주특별자치도,깔끔,874
제주특별자치도,시설,796
제주특별자치도,주차,690
제주특별자치도,수영장,669
제주특별자치도,공항,609
제주특별자치도,가족,564
제주특별자치도,침대,561
제주특별자치도,주차장,533
제주특별자치도,청결,478
제주특별자치도,화장실,475
제주특별자치도,시장,456
제주특별자치도,제주도,372
제주특별자치도,컨디션,369
제주특별자치도,편의점,367
제주특별자치도,침구,352
제주특별자치도,한라산,342
제주특별자치도,청소,340
제주특별자치도,따뜻,338
제주특별자치도,편안,333
제주특별자치도,저렴,329
제주특별자치도,숙박,309
제주특별자치도,서비스,308
전라도,깨끗,630
전라도,위치,585
전라도,여행,558
전라도,여수,504
전라도,친절,447
전라도,객실,392
전라도,직원,392
전라도,시설,385
전라도,깔끔,368
전라도,조식,329
전라도,가격,292
전라도,가족,288
전라도,침대,204
전라도,수영장,195
전라도,청결,193
전라도,바다,186
전라도,화장실,165
전라도,따뜻,160
전라도,컨디션,142
전라도,한옥마을,134
전라도,주차,132
전라도,가능,131
전라도,편의점,129
전라도,청소,121
전라도,숙박,116
전라도,소리,114
전라도,주차장,110
전라도,침구,110
전라도,서비스,107
전라도,방음,106
경상도,조식,529
경상도,깨끗,474
경상도,깔끔,403
경상도,친절,401
경상도,직원,379
경상도,객실,346
경상도,시설,335
경상도,가격,326
경상도,수영장,276
경상도,여행,272
경상도,위치,258
경상도,침대,251
경상도,가족,247
경상도,주차,193
경상도,청결,179
경상도,서비스,165
경상도,방음,149
경상도,화장실,147
경상도,따뜻,146
경상도,컨디션,141
경상도,침구,140
경상도,편의점,139
경상도,편안,135
경상도,소리,115
경상도,숙박,114
경상도,청소,112
경상도,가능,112
경상도,사람,106
경상도,주차장,105
경상도,사용,105
울산광역시,조식,51
울산광역시,친절,47
울산광역시,깔끔,45
울산광역시,깨끗,44
울산광역시,주차,43
울산광역시,직원,38
울산광역시,위치,38
울산광역시,객실,35
울산광역시,주차장,32
울산광역시,방음,28
울산광역시,가격,26
울산광역시,시설,23
울산광역시,침대,19
울산광역시,서비스,17
울산광역시,소리,17
울산광역시,여행,17
울산광역시,청소,15
울산광역시,지하,14
울산광역시,숙박,14
울산광역시,침구,13
울산광역시,가족,13
울산광역시,천원,12
울산광역시,소음,12
울산광역시,처음,12
울산광역시,청결,12
울산광역시,체크아웃,12
울산광역시,욕실,11
울산광역시,하루,11
울산광역시,시내,11
울산광역시,화장실,11
충청도,깨끗,193
충청도,친절,143
충청도,시설,120
충청도,직원,108
충청도,깔끔,102
충청도,객실,99
충청도,조식,87
충청도,청결,78
충청도,대전,64
충청도,주차,64
충청도,가격,63
충청도,침대,60
충청도,위치,56
충청도,따뜻,44
충청도,냄새,41
충청도,서비스,39
충청도,화장실,39
충청도,컨디션,38
충청도,사용,38
충청도,주차장,37
충청도,여행,37
충청도,조용,36
충청도,침구,35
충청도,가능,35
충청도,숙박,34
충청도,편의점,31
충청도,아침,31
충청도,강아지,29
충청도,처음,27
충청도,백화점,26
강원도,깨끗,1156
강원도,시설,798
강원도,여행,776
강원도,바다,747
강원도,객실,740
강원도,위치,724
강원도,속초,707
강원도,깔끔,674
강원도,친절,651
강원도,주차,650
강원도,가격,620
강원도,직원,554
강원도,가족,467
강원도,침대,432
강원도,청결,396
강원도,조식,383
강원도,주차장,341
강원도,편의점,309
강원도,화장실,292
강원도,따뜻,285
강원도,해변,267
강원도,컨디션,266
강원도,청소,255
강원도,침구,239
강원도,가능,221
강원도,건물,220
강원도,전망,220
강원도,편안,218
강원도,일출,216
강원도,저렴,213
경기도,깨끗,610
경기도,깔끔,467
경기도,시설,401
경기도,친절,396
경기도,객실,325
경기도,직원,291
경기도,수영장,225
경기도,가격,204
경기도,주차,201
경기도,조식,196
경기도,청결,183
경기도,위치,169
경기도,침대,166
경기도,여행,160
경기도,서비스,148
경기도,화장실,146
경기도,편안,146
경기도,가족,140
경기도,컨디션,136
경기도,냄새,135
경기도,침구,135
경기도,따뜻,122
경기도,편의점,119
경기도,주차장,117
경기도,가능,109
경기도,숙박,104
경기도,기분,95
경기도,음식,92
경기도,사용,89
경기도,조용,88
국외,수영장,142
국외,직원,142
국외,친절,126
국외,시설,124
국외,비치,74
국외,위치,67
국외,조식,65
국외,서비스,56
국외,컨디션,55
국외,가격,52
국외,깨끗,51
국외,여행,50
국외,객실,43
국외,라운지,37
국외,식당,37
국외,음식,33
국외,조용,32
국외,아이들,32
국외,클럽,32
국외,화장실,31
국외,가족,31
국외,청소,31
국외,요청,29
국외,니코,27
국외,한국인,26
국외,슬라이드,25
국외,바다,25
국외,훌륭,24
국외,성급,24
국외,사용,21
